mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2831906318664551,0.024288225284649665,0.0279693603515625,0.013517164615446556,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.8225806451612904,0.8387096774193549,0.8064516129032258,0.7868852459016393,0.8032786885245902,0.81158117398202,0.017675274200737813,24
0.5104201316833497,0.012115820899121863,0.026528310775756837,0.003188384066478923,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.8064516129032258,0.8225806451612904,0.8225806451612904,0.8688524590163934,0.7868852459016393,0.8214701216287679,0.027089561291196503,7
0.9257067680358887,0.08062693975819767,0.04987115859985351,0.009378351334011992,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.8225806451612904,0.7741935483870968,0.8225806451612904,0.8360655737704918,0.7868852459016393,0.8084611316763617,0.02366648540396705,26
0.22971811294555664,0.025999646005433984,0.020261383056640624,0.0069470691415210615,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.8225806451612904,0.8387096774193549,0.8548387096774194,0.8360655737704918,0.7704918032786885,0.8245372818614489,0.028902169538954504,5
0.4486989498138428,0.051472341040242585,0.028214025497436523,0.010093038389815857,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.8387096774193549,0.8225806451612904,0.8064516129032258,0.8360655737704918,0.7704918032786885,0.8148598625066104,0.02496929989977808,19
0.8727171897888184,0.09773694864063409,0.04965710639953613,0.010232050305887187,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.8387096774193549,0.8225806451612904,0.8225806451612904,0.8524590163934426,0.7868852459016393,0.8246430460074035,0.02193516259854775,1
0.23580098152160645,0.028074961902173276,0.019951581954956055,0.006359710098113749,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.8064516129032258,0.8225806451612904,0.8548387096774194,0.8032786885245902,0.7868852459016393,0.8148069804336331,0.02300133104726446,21
0.5575509071350098,0.019114001546988467,0.02812643051147461,0.004703520813417462,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.8387096774193549,0.8064516129032258,0.8387096774193549,0.819672131147541,0.7868852459016393,0.8180856689582232,0.019809260316773214,11
0.825999116897583,0.05002144123550606,0.03741221427917481,0.0035644903617611796,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.8548387096774194,0.8064516129032258,0.8387096774193549,0.8360655737704918,0.7704918032786885,0.8213114754098362,0.02982586420697996,9
0.20064477920532225,0.002999764827287161,0.015551090240478516,0.0043340673346137105,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.8387096774193549,0.8387096774193549,0.8387096774193549,0.7868852459016393,0.7704918032786885,0.8147012162876784,0.02985772605156028,23
0.3935100078582764,0.006471499335691161,0.024724245071411133,0.003356110383148585,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.8225806451612904,0.8225806451612904,0.8548387096774194,0.819672131147541,0.7704918032786885,0.8180327868852458,0.027051338429995242,16
0.7902218341827393,0.011958173809827194,0.043211174011230466,0.0010160819542334948,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.8225806451612904,0.7903225806451613,0.8387096774193549,0.8360655737704918,0.7868852459016393,0.8149127445795875,0.02219346633203203,18
0.1984729290008545,0.0032176892235821824,0.014378213882446289,0.0043365846402866485,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.8225806451612904,0.8387096774193549,0.8387096774193549,0.819672131147541,0.7704918032786885,0.8180327868852458,0.025054273851410326,16
0.41355018615722655,0.0328858508567626,0.0229766845703125,0.002662666147953949,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.8387096774193549,0.8064516129032258,0.8387096774193549,0.8360655737704918,0.7704918032786885,0.8180856689582232,0.026737627933982162,11
0.8193914413452148,0.03390916162774282,0.04592208862304688,0.006204202133104283,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.8387096774193549,0.8225806451612904,0.8225806451612904,0.8524590163934426,0.7868852459016393,0.8246430460074035,0.02193516259854775,1
0.21487298011779785,0.03470392112647125,0.015660810470581054,0.0019062917069778717,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.8064516129032258,0.8225806451612904,0.8548387096774194,0.819672131147541,0.7868852459016393,0.8180856689582232,0.022281496065802226,11
0.3885312080383301,0.009425325170585648,0.02504100799560547,0.0048521804266555444,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.8387096774193549,0.8064516129032258,0.8387096774193549,0.819672131147541,0.7868852459016393,0.8180856689582232,0.019809260316773214,11
0.773310375213623,0.008614744234712332,0.04003396034240723,0.002157138520521459,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.8548387096774194,0.8064516129032258,0.8387096774193549,0.8524590163934426,0.7704918032786885,0.8245901639344263,0.03208316623137183,4
0.19756250381469725,0.0047308434030693194,0.018116283416748046,0.003929151289070828,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.8225806451612904,0.8387096774193549,0.8064516129032258,0.7868852459016393,0.8032786885245902,0.81158117398202,0.017675274200737813,24
